sentence_id;sentence;relation-type
174;1;John W. Duarte(October 2, 1919 - December 23, 2004) was a British composer and classical guitarist.;NATIONALITY
176;1;Sir Charles Galton Darwin, FRS (December 18, 1887 - December 13, 1962) was the English physicist grandson of Charles Darwin who served as director of the National Physical Laboratory (NPL) during World War II.;NATIONALITY
327;5;Friends recall him as disciplined and focused, neither drinking nor gambling during a trip to Las Vegas.;CONTROL
202;1;Graham Stuart, (born October 24, 1970) is a former English football (soccer) player who plays as a central-midfielder.;NATIONALITY
203;1;George Timothy Clooney (born May 6, 1961 in Lexington, Kentucky) is an American film and television actor, known for his former role in the long-running television drama ER (1994-99).;NATIONALITY
204;2;He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.;NATIONALITY
210;1;Lawford became an American citizen in 1960, in time to vote for his brother-in-law John F. Kennedy.;NATIONALITY
328;3;He and his wife belonged to the Epiphany Catholic Church in Miami for many years.;CONTROL
226;1;Stella Dorothea Gibbons (5 January 1902 - 19 December 1989) was an English novelist and poet.;NATIONALITY
254;1;Didier Julia (born February 18, 1934) is a French politician.;NATIONALITY
261;1;John Davison Rockefeller (July 8, 1839 - May 23, 1937) was an American capitalist most known for his role in the early petroleum industry and the founding of Standard Oil (ExxonMobil is the largest of its descendants).;NATIONALITY
285;1;William Seward Burroughs (February 5, 1914 - August 2, 1997) was an American novelist, essayist, social critic and spoken word performer.;NATIONALITY
293;1;Johann Joachim Quantz (January 30, 1697 - July 12, 1773) was a German flutist, flute maker and composer.;NATIONALITY
332;3;In so doing, he earned his way into the executive program at the bank.;CONTROL
294;1;Kim Basinger (born December 8, 1953 in Athens, Georgia) is an American film actress of Irish, Swedish and 1/8th Cherokee descent.;NATIONALITY
304;1;Drew Blythe Barrymore (born February 22, 1975 in Culver City, California) is an American film and television actress and producer.;NATIONALITY
309;1;Johannes (Hans) Wilhelm Geiger (September 30, 1882 - September 24, 1945) was a German physicist.;NATIONALITY
335;2;He spent his time there teaching English.;CONTROL
314;1;Irwin Allen Ginsberg (IPA: /?g?nz?b?g/) (June 3, 1926 - April 5, 1997) was an American Beat poet born in Paterson, New Jersey.;NATIONALITY
317;1;Adolf Otto Reinhold Windaus (December 25, 1876 - June 9, 1959) was a significant German chemist.;NATIONALITY
318;1;Albert Einstein (March 14, 1879 - April 18, 1955) was a German-born Jewish theoretical physicist of German, Swiss and American citizenship, who is widely regarded as the greatest scientist of the 20th century or even of all time, ranking alongside the luminaries Newton and Gauss.;NATIONALITY
324;5;The same year, he renounced his Wuerttemberg citizenship and became stateless.;NATIONALITY
349;2;When she became pregnant, Barrymore proposed marriage.;CONTROL
335;1;The Reverend Martin Luther King, Jr. Ph.D., Boston University (January 15, 1929 - April 4, 1968) was an American Nobel Laureate, Baptist minister, and African American civil rights activist.;NATIONALITY
338;1;Elvis Aron Presley (January 8, 1935 - August 16, 1977), also known as The King of Rock and Roll (sometimes shortened to The King) was an American singer and actor.;NATIONALITY
344;1;David Manners (April 30, 1901 - December 23, 1998) was a Canadian film actor.;NATIONALITY
352;1;Francis Ford Coppola (born April 7, 1939 in Detroit, Michigan) is an Italian American film director, screenwriter, vintner, magazine publisher, and hotelier, most renowned for directing the highly regarded Godfather trilogy.;NATIONALITY
369;1;Stephen Baldwin (born May 12, 1966) is an American actor.;NATIONALITY
365;3;He was wearing shoes without socks and died from a toe infection.;CONTROL
392;1;Helen Traubel (June 16, 1899 - July 28, 1972), was an American operatic soprano, best known for her Wagnerian roles, especially that of Brunnhilde.;NATIONALITY
22;1;Jonathan Aitken (born August 30, 1942) is a former Conservative minister, and convicted perjurer.;POLITICAL_AFFILIATION
43;2;In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.;POLITICAL_AFFILIATION
51;1;John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.;POLITICAL_AFFILIATION
132;1;Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.;POLITICAL_AFFILIATION
177;1;Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.;POLITICAL_AFFILIATION
375;2;As he once joked, he was the youngest ex-governor in the nation's history.;CONTROL
191;1;Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.;POLITICAL_AFFILIATION
204;2;He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.;POLITICAL_AFFILIATION
238;1;Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.;POLITICAL_AFFILIATION
383;4;In retrospect, many now view Gore as a helpful factor in the 1992 campaign.;CONTROL
251;1;Benjamin Everett Jordan (8 September 1896 - 15 March 1974) was a Democratic U.S. senator from the state of North Carolina between 1958 and 1973.;POLITICAL_AFFILIATION
255;3;He is in the Gaullist political family, currently a member of the UMP.;POLITICAL_AFFILIATION
274;1;The election of fellow-Republican Dwight Eisenhower to the presidency saw Rockefeller appointed first as chair of the President's Advisory Committee on Government Organization and later as an undersecretary in the Department of Health, Education, and Welfare.;POLITICAL_AFFILIATION
327;1;Samuel Adams (5 June 1805 - 27 February 1850) was a Democratic Governor of the State of Arkansas.;POLITICAL_AFFILIATION
452;5;He graduated from West Point in 1843, ranking 21st in a class of 39.;CONTROL
361;1;Brice Lalonde (born February 10, 1946) is a former socialist and Green Party leader in France, who ran for President of France in 1981.;POLITICAL_AFFILIATION
406;1;Generally regarded as a member of the moderate New Democrat wing of the Democratic Party, he headed the centrist Democratic Leadership Council in 1990 and 1991.;POLITICAL_AFFILIATION
427;1;Clooney left AMC to run as a Democrat in the 2004 election for a seat in the House of Representatives representing Kentucky's 4th Congressional district.;POLITICAL_AFFILIATION
465;1;Rupert John Cornford (27 December 1915 - 28 December 1936) was an English poet and communist.;POLITICAL_AFFILIATION
452;6;At the academy, he established a reputation as a fearless and expert horseman.;CONTROL
546;1;Frank Durward White (June 4, 1933 - May 21, 2003) was the Republican governor of the U.S. state of Arkansas from 1981 to 1983.;POLITICAL_AFFILIATION
571;3;Bush is a lifelong member of the Republican Party and was a businessman in both the oil and professional sports industries.;POLITICAL_AFFILIATION
572;2;Bush is a Republican, and has Dick Cheney as his Vice President.;POLITICAL_AFFILIATION
611;2;He served in the United States Senate as a Republican from Minnesota.;POLITICAL_AFFILIATION
453;2;His father, a tanner, and his mother were born in Pennsylvania.;CONTROL
649;2;Lincoln was the first Republican president.;POLITICAL_AFFILIATION
667;1;Vasil Petrov Kolarov (July 16, 1877 - January 23, 1950) was a Bulgarian communist political leader.;POLITICAL_AFFILIATION
716;1;Erich Honecker (25 August 1912 - 29 May 1994) was a German Communist politician who led East Germany from 1971 until 1989.;POLITICAL_AFFILIATION
744;1;Walter Ulbricht (June 30, 1893 - August 1, 1973) was a German communist politician.;POLITICAL_AFFILIATION
463;4;The contest between the two was bitter, although they differed little on issues.;CONTROL
776;1;Joseph Forney Johnston (March 23, 1843 - August 8, 1913) was an American Democratic politician who was the Governor of Alabama from 1896 to 1900.;POLITICAL_AFFILIATION
802;1;Hanks is a Democrat and has supported many candidates, including Hilary Clinton, Diane Feinstein, Al Gore, and John Kerry.;POLITICAL_AFFILIATION
815;1;Arnold Alois Schwarzenegger (born July 30, 1947 in Thal, Styria, Austria) is an Austrian-American actor, Republican politician, and bodybuilder, currently serving as the 38th Governor of California.;POLITICAL_AFFILIATION
833;1;James Douglas McKay (June 24, 1893 - July 22, 1959) born in Portland, Oregon, was a Republican from Oregon.;POLITICAL_AFFILIATION
887;1;He served as the Governor of California from January 2, 1939 until January 4, 1943, and was the only Democrat elected to that office between 1898 and 1954.;POLITICAL_AFFILIATION
468;3;He was, for a short time, a commentator opposite Bill Clinton on CBS's 60 Minutes.;CONTROL
894;1;Baldwin, a liberal Democrat, has always had an active interest in politics and is frequently rumored to be a candidate for public office.;POLITICAL_AFFILIATION
918;1;Diane Julie Abbott (born September 27, 1953 in Paddington, London) is a British Labour Member of Parliament for Hackney North and Stoke Newington constituency.;POLITICAL_AFFILIATION
944;4;In the Senate, he was aligned with the Federalists.;POLITICAL_AFFILIATION
963;1;She is a member of the Democratic Party.;POLITICAL_AFFILIATION
471;1;Koldewey was a self-trained classical era archaeological historian.;CONTROL
966;1;"John Ellis ""Jeb"" Bush (born February 11, 1953), a Republican, is the forty-third and current Governor of Florida.";POLITICAL_AFFILIATION
990;1;Rather than retire, Adams would go on to win election as a Democratic-Republican to the House of Representatives beginning with the 22nd Congress, serving from March 4, 1831, until his death.;POLITICAL_AFFILIATION
1026;1;Lyman Enos Knapp (November 5, 1837 - October 9, 1904) was an American Republican politician who was the Governor of the District of Alaska from 1889 to 1893.;POLITICAL_AFFILIATION
33;1;Henry Bolte was born in Ballarat, the son of a publican of German descent (the family name was pronounced Bol-tee).He was to spend the first 24 years of his life (apart from three years at boarding school) in the small western district town of Skipton.;VISITED
33;3;After working in various manual jobs he married Edith Elder in 1934 and bought a small farm at Bamganie near Meredith, where he lived for the rest of his life, running sheep and cattle.;VISITED
482;2;He was noted for his involvement in conservation and the protection of wildlife.;CONTROL
35;1;He was born in Groton, England, as the son of John Winthrop, the founding governor of the Massachusetts Bay Colony.;VISITED
42;2;During the Great Depression, which hit all of Kansas very hard, the Doles moved into the basement of their home, and rented out the rest of their house.;VISITED
49;1;Dole has worked part-time for a Washington, DC, law firm, and engaged in a career of writing, consulting, public speaking, and television appearances.;VISITED
67;3;"As an Army officer, he led a pioneering scientific expedition throughout a large area of the Great Plains, which he famously described as the ""Great American Desert.""";VISITED
91;3;His work dealt largely with the poor urban black and mulatto communities of Bahia.;VISITED
483;4;Laurance and Mary had three daughters and a son.;CONTROL
92;2;Jorge Amado went to Rio de Janeiro in 1931 and in the next year started to study law in the University of Rio de Janeiro.;VISITED
94;1;Marvin graduated from Woodberry Forest School in 1975, and spent most summers and holidays at the sprawling family estate, the Bush Compound.;VISITED
94;2;He was a director of the Sterling, Virginia company Securacom, also known as Stratesec, from 1993 until fiscal year 2000.;VISITED
98;1;Coltrane moved to Philadelphia, Pennsylvania in June 1943.;VISITED
489;1;Bush and his former wife, Sharon Smith, were married for 23 years.;CONTROL
114;1;At the age of 17, and having barely passed West Point's height requirement for entrance, Grant received a cadetship to the United States Military Academy at West Point, New York, through his U.S. Congressman, Thomas L. Hamer.;VISITED
115;3;In the fall of 1823 they moved to the village of Georgetown in Brown County, Ohio, where Grant spent most of his time until he was 17.;VISITED
129;1;In 1920, after years of moving from town to town, the family settled in Dixon, Illinois.;VISITED
497;2;She is the youngest daughter of their household, eternally a baby.;CONTROL
130;3;"His nationally televised speech ""A Time for Choosing"" electrified conservatives; soon after, several top Republican contributors visited Reagan at his home in Pacific Palisades, California, urging him to seek the governorship in 1966.";VISITED
136;1;In 1928, Reagan entered Eureka College in Eureka, Illinois, majoring in economics and sociology, and graduating in 1932.;VISITED
143;2;In between his sea voyages, Kerouac stayed in New York with friends from Fordham.;VISITED
508;2;He is the heir to several Forbes family offshore trusts.;CONTROL
150;3;Rodgers shortly fled debt and prosecution by going to Barbados, leaving Deborah behind.;VISITED
152;1;At the age of 17, Franklin ran away to Philadelphia, seeking a new start in a new city.;VISITED
152;4;After a few months, while working in a printing house, Franklin was induced by Pennsylvania Governor Sir William Keith to go to London, ostensibly to acquire the equipment necessary for establishing another newspaper in Philadelphia.;VISITED
500;5;Cannon County, Tennessee is named in his honor.;CONTROL
160;1;Nicholas Gilman, Jr. (August 3, 1755 - May 2, 1814) was a soldier in the Continental Army during the American Revolutionary War, a delegate to the Continental Congress, and a signer of the U.S. Constitution, representing New Hampshire.;VISITED
179;1;Details of Cheney's second Wyoming arrest, in July 1963, have fallen victim to time and record destruction practices.;VISITED
183;4;Cheney grew up in Casper, Wyoming, and met his high-school sweetheart and future wife, Lynne Vincent, at age fourteen.;VISITED
192;3;Carlucci became Ambassador to Portugal, and served in this position from 1974 until 1977.;VISITED
509;3;His father changed the family name from Levy when he was a child.;CONTROL
198;5;In 1961 he participated in a CIA mission to Congo, in which he used his athletic ability to rescue US citizens from mobs, but was also reportedly involved in the assassination of Prime Minister Patrice Lumumba.;VISITED
205;1;Clooney got his start in Los Angeles, a young college dropout from Kentucky who spent a good chunk of his struggling actor years riding to auditions on a bicycle.;VISITED
207;1;"Peter Sydney Lawford (September 7, 1923 - December 24, 1984) was a Hollywood actor and member of Frank Sinatra's ""Rat Pack,"" more noted for his off-screen activities as a celebrity than for his acting.";VISITED
216;1;"He maintained homes in Long Island, New York and Greenwich, Connecticut; the family compound at Kennebunkport, Maine; a 10,000 acre (40 km˝) plantation in South Carolina; and an island retreat in Florida.";VISITED
217;2;He received training in intelligence at Verdun and was briefly assigned to a staff of French officers.;VISITED
516;3;He is considered the founder of modern Biblical criticism.;CONTROL
218;1;The Bushes moved to Columbus, Ohio, in 1923, where Bush worked for the Hupp Products Company, where his business efforts generally failed.;VISITED
218;2;He left in November 1923 to become president of sales for Stedman Products of South Braintree, Massachusetts.;VISITED
218;4;In 1925, he joined the United States Rubber Company (based in New York City) as manager of the foreign division, and moved to Greenwich, Connecticut.;VISITED
224;1;After his discharge in 1919, Bush went to work for the Simmons Hardware Company in St. Louis, Missouri.;VISITED
520;2;Clooney was Ferrer's third wife.;CONTROL
237;3;In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.;VISITED
241;3;"He did not complete his degree, choosing instead to seek his fortune in the United States of America; but the First World War intervened.";VISITED
246;2;"He received his ""boot"" training at Paris Island, South Carolina.";VISITED
532;2;His parents were both members of the Nazi party.;CONTROL
246;3;After he graduated basic training, he was sent to Camp Lejuene in North Carolina where he underwent advanced training before being sent to Korea.;VISITED
247;2;He moved to San Juan where he started to work for the Texas Company as a file clerk.;VISITED
8;1;He married Carolyn Bessette in 1996.;WIFE
19;4;Ferrer had previously been married to Uta Hagen (1938-1948), by whom he had a daughter, and actress Phyllis Hill (1948-1953).;WIFE
19;5;At the time of his death, Ferrer was married to Stella Magee, whom he married in 1992.;WIFE
25;2;He married his second wife, Elizabeth Harris in June 2003.;WIFE
45;1;Dole has been married to Senator Elizabeth Dole, nee Hanford of North Carolina since 1975.;WIFE
535;3;The couple have four children: daughters Katherine and Christina, and sons Patrick and Christopher.;CONTROL
60;1;Barrymore married Katherine Corri Harris (1891-1927), an actress who starred in the 1918 film The House of Mirth, on September 1, 1910 and divorced in 1916.;WIFE
60;2;"He married Blanche Marie Louise Oelrichs (1890-1950), a New York mining heiress who wrote under the pseudonym ""Michael Strange,"" on August 5, 1920 and divorced her in 1925.";WIFE
60;6;"His fourth wife was Elaine Barrie (nee Elaine Jacobs, 1916-2003), an actress; they married on November 9, 1936 and divorced in 1940.";WIFE
112;1;Grant married Julia Boggs Dent (1826 - 1902) on August 22, 1848.;WIFE
541;3;He was given just his grandfather's first and last name and was not given any middle name.;CONTROL
123;1;Kennedy married his second wife Jacqueline Bouvier on September 12, 1953.;WIFE
134;1;Reagan later married actress Jane Wyman in 1940.;WIFE
134;5;Reagan remarried in 1952 to actress Nancy Davis.;WIFE
183;4;Cheney grew up in Casper, Wyoming, and met his high-school sweetheart and future wife, Lynne Vincent, at age fourteen.;WIFE
187;1;In 1964, he married Lynne Vincent.;WIFE
541;9;Therefore, from a very young age, Lincoln was exposed to anti-slavery sentiment.;CONTROL
321;1;Einstein married Mileva Maria on January 6, 1903.;WIFE
333;1;King married Coretta Scott on June 18, 1953.;WIFE
396;3;"His wife, former first lady Hillary Rodham Clinton, is currently the junior U.S. Senator from New York.";WIFE
407;3;"After Oxford, Clinton received a Juris Doctor (J.D.) degree from Yale Law School, where he met classmate Hillary Rodham whom he married in 1975.";WIFE
542;5;In a valley of the Rolling Fork River, this was some of the best farmland in the area.;CONTROL
411;1;The most important item on Clinton's legislative agenda, however, was a complex health care reform plan, the result of a taskforce headed by Hillary Clinton, aimed at achieving universal coverage.;WIFE
448;1;On 29 January 1839, Darwin married his cousin Emma Wedgwood at Maer in an Anglican ceremony arranged to also suit the Unitarians.;WIFE
473;1;Shire is currently married to actress Didi Conn.;WIFE
543;3;These events soon led to the American Civil War.;CONTROL
474;2;He was married to actress Talia Shire, whose brother Francis Ford Coppola offered him his big break, scoring The Conversation in 1974.;WIFE
524;5;Together, Professor J. Laurence Laughlin and Roosevelt's girlfriend and future wife, Alice Hathaway Lee, convinced Roosevelt to drop natural history in favor of politics.;WIFE
563;3;"During this time, he was prescribed Ritalin for hyperactivity; years later, his wife Courtney Love blamed Ritalin for his addiction to heroin.";WIFE
574;3;Two years later, he married Laura Welch, a librarian originally from Midland.;WIFE
576;3;Though earning mediocre grades, he made many lasting friendships.;CONTROL
586;1;Bush is very close to his wife Laura, his father George H. W. Bush and mother Barbara Bush.;WIFE
598;2;He married his first wife, Joyce Halverson, in 1951.;WIFE
598;4;He later married Jean Forsyth Clyde in 1973, with whom he was married for the rest of his life.;WIFE
606;6;He is married to singer Chynna Phillips.;WIFE
577;5;After the media caught wind of the comment, he apologized.;CONTROL
627;4;He purchased a commission in the army, but sold it again without serving, and in August 1827 married, in opposition to his mother's wishes, Rosina Doyle Wheeler (1802-1882).;WIFE
651;1;On November 4, 1842, Lincoln married Mary Todd.;WIFE
720;1;Honecker married Margot Feist in 1953 and remained married until his death.;WIFE
729;2;He was married to Harriet Fay.;WIFE
733;1;He was married to Grace Coolidge and had 2 children: John (born 6 September, 1906 - died 2000) and Calvin Jr. (born 13 April - died 1924).;WIFE
749;2;He was married with HRH Princess Olga of Greece and Denmark in 1923.;WIFE
769;1;He has a son, Weston Coppola Cage (born 1990), by model Kristina Fulton.;WIFE
769;2;On April 8, 1995 he married actress Patricia Arquette.;WIFE
769;4;On August 10, 2002 he married Lisa Marie Presley and filed for divorce less than four months later.;WIFE
